order_name,family_name,genus_name,species_name,median_lat,body_shape,longevity,max_length,min_depth,weight,salinity,age_at_maturity,streams,lakes,feeding_type,neritic,oceanic,mangroves,diet_troph,schooling,benthic,coral_reefs,estuaries,lat_range,temp_min,mouth_type,repro_mode,fertilization,rep_guild_1,rep_guild_2,parental_care
Perciformes,Centrarchidae,Ambloplites,Ambloplites constellatus,36.2695,fusiform / normal,NA,27.9,NA,450,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
Perciformes,Centrarchidae,Ambloplites,Ambloplites rupestris,45.867,short and / or deep,18,43,NA,1360,freshwater,NA,1,1,hunting macrofauna (predator),0,0,0,3.43,0,0,0,0,20,10,NA,dioecism,external,guarders,nesters,paternal
Siluriformes,Amblycipitidae,Amblyceps,Amblyceps mangois,26.415,elongated,NA,NA,NA,NA,freshwater,NA,1,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Gobiiformes,Oxudercidae,Amblychaeturichthys,Amblychaeturichthys sciistius,35.417,elongated,NA,6,0,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perciformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus bimacula,17.482,short and / or deep,NA,NA,0,NA,saltwater,NA,0,0,NA,0,0,0,NA,0,0,1,0,51,NA,NA,NA,NA,NA,NA,NA
Perciformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus pinos,14.2,fusiform / normal,NA,NA,2,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,3.23,0,0,1,0,NA,NA,NA,protogyny,external,nonguarders,NA,NA
Gobiiformes,Gobiidae,Amblyeleotris,Amblyeleotris aurora,25.1945,elongated,NA,11,5,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA
Gobiiformes,Gobiidae,Amblyeleotris,Amblyeleotris diagonalis,13.41,elongated,NA,NA,6,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gobiiformes,Gobiidae,Amblyeleotris,Amblyeleotris fasciata,17.483,elongated,NA,8,4,NA,saltwater,NA,0,0,NA,0,0,0,NA,0,0,1,0,64,NA,NA,NA,NA,NA,NA,NA
Gobiiformes,Gobiidae,Amblyeleotris,Amblyeleotris guttata,14.246,elongated,NA,NA,10,NA,saltwater,NA,0,0,NA,0,1,0,NA,0,0,1,0,54,22,NA,NA,NA,NA,NA,NA
Gobiiformes,Gobiidae,Amblyeleotris,Amblyeleotris gymnocephala,NA,elongated,NA,14,5,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Gobiiformes,Gobiidae,Amblyeleotris,Amblyeleotris periophthalma,27.546,elongated,NA,NA,5,NA,saltwater,NA,0,0,NA,0,0,0,NA,0,0,1,1,58,22,NA,NA,NA,NA,NA,NA
