"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"98",26883,"Gilbert, C.R. and J.C. Tyler",1997,"<i>Apogon robbyi</i>, a new cardinalfish (Perciformes: Apogonidae) from the Caribbean Sea.","Bull. Mar. Sci. 60(3):764-781.",NA,NA,NA,NA,NA
"99",43448,"Golani, D., L. Orsi Relini, E. Massut<ed> and J.-P. Quignard",2002,"CIESM Atlas of Exotic Species in the Mediterranean. Vol. 1. Fishes.","F. Briand (ed.). 256 pages. CIESM Publishers, Monaco.",NA,NA,NA,NA,NA
"100",47838,"Allen, G.R., R. Steene and M. Allen",1998,"A guide to angelfishes and butterflyfishes.","Odyssey Publishing/Tropical Reef Research. 250 p.",NA,NA,NA,NA,NA
"101",27020,"Randall, J.E. and C.C. Baldwin",1997,"Revision of the serranid fishes of the subtribe <i>Pseudogrammina</i>, with descriptions of five new species.","Indo-Pac. Fish. (26):56 p.",NA,NA,NA,NA,NA
"102",54133,"McCosker, J.E., E.B. B<f6>hlke and J.E. B<f6>hlke",1989,"Family Ophichthidae.","p. 254-412. In E. B<f6>hlke (ed). Fishes of the western North Atlantic. Part 9, volume 1 Orders Anguilliformes and Saccopharyngiformes. Mem. Sears Found. Mar. Res. New Haven.",NA,NA,NA,NA,NA
"103",115835,"Russell, B., K.E. Carpenter, T. MacDonald and M. Vega-Cendejas",2014,"<i> Archosargus rhomboidalis.<i/>","The IUCN Red List of Threatened Species 2014: e.T170156A1283528. http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T170156A1283528.en. Downloaded on 17 July 2017.",NA,NA,NA,NA,NA
"104",1371,"Cohen, D.M., T. Inada, T. Iwamoto and N. Scialabba",1990,"FAO species catalogue. Vol. 10. Gadiform fishes of the world (Order Gadiformes). An annotated and illustrated catalogue of cods, hakes, grenadiers and other gadiform fishes known to date.","FAO Fish. Synop. 125(10). Rome: FAO. 442 p.",NA,NA,NA,NA,NA
"105",45534,"Willis, T.J., J.E.H. Saunders, D.L. Blackwood and J.E. Archer",1999,"First New Zealand record of the Australian bridled goby, <i>Arenigobius bifrenatus</i> (Pisces: Gobiidae).","N.Z. J. Mar. Freshwat. Res. 33(2):189-192.",NA,NA,NA,NA,NA
"106",3978,"Cohen, D.M.",1986,"Argentinidae.","p. 215-216. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"107",11230,"Yamada, U., S. Shirai, T. Irie, M. Tokimura, S. Deng, Y. Zheng, C. Li, Y.U. Kim and Y.S. Kim",1995,"Names and illustrations of fishes from the East China Sea and the Yellow Sea.","Overseas Fishery Cooperation Foundation, Tokyo, Japan. 288 p.",NA,NA,NA,NA,NA
"108",56504,"Mytilineou, C., C.-Y. Politou, C. Papaconstantinou, S. Kavadas, G. D'Onghia and L. Sion",2005,"Deep-water fish fauna in the Eastern Ionian Sea.","Belg. J. Zool., 135(2):229-233.",NA,NA,NA,NA,NA
"109",27311,"Shinohara, G., H. Endo and K. Matsuura",1996,"Deep-water fishes collected from the Pacific Coast of Northern Honshu, Japan.","Mem. Natn. Sci. Mus., Tokyo (29):153-185.",NA,NA,NA,NA,NA
"110",74511,"Yang, J., Z. Huang, S. Chen and Q. Li",1996,"The Deep-Water Pelagic Fishes in the Area form Nansha Islands To the Northeast part of South China Sea.","Science Publication Company, Beijing. 190 pp.",NA,NA,NA,NA,NA
"111",4739,"Badcock, J.",1984,"Sternoptychidae.","p. 302-317. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the north-eastern Atlantic and the Mediterranean. volume 1. UNESCO, Paris.",NA,NA,NA,NA,NA
"112",100719,"Goldshmidt, O., B. Galil, D. Golani, B. Lazar, J. Erez and A. Baranes",1996,"Food selection and habitat preferences in deep-sea fishes of the northern Red Sea.","Uiblein, F., J. Ott, and M. Stachowtisch (Eds) Deep-sea and extreme shallow-water habitat: affinities and adaptations. Biosystematics and Ecology Series 11:271-298.",NA,NA,NA,NA,NA
"113",27121,"Bianchi, G., K.E. Carpenter, J.-P. Roux, F.J. Molloy, D. Boyer and H.J. Boyer",1999,"FAO species identification guide for fishery purposes. Field guide to the living marine resources of Namibia.","FAO, Rome. 265p.",36731,NA,NA,NA,NA
"114",11025,"Griffiths, M.H. and P.C. Heemstra",1995,"A contribution to the taxonomy of the marine fish genus <i>Argyrosomus</i> (Perciformes: Sciaenidae), with descriptions of two new species from southern Africa.","Ichthyol. Bull., J.L.B. Smith Inst. Ichthyol. No. 65, 40 p.",NA,NA,NA,NA,NA
