"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"115",3198,"Smith, J.L.B. and M.M. Smith",1986,"Sparidae.","p. 580-594. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"116",26999,"Sanches, J.G.",1991,"Cat<e1>logo dos principais peixes marinhos da Rep<fa>blica de Guin<e9>-Bissau.","Publ. Avuls. Inst. Nac. Invest. Pescas 16:429 p.",NA,NA,NA,NA,NA
"117",4412,"Haedrich, R.L.",1986,"Nomeidae.","p. 846-850. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"118",4453,"Smith, D.G.",1990,"Congridae.","p. 156-167. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"119",9292,"Smith, D.G.",1995,"Congridae. Congrios.","p. 1026-1035. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",NA,NA,NA,NA,NA
"120",43081,"Jeyaseelan, M.J.P.",1998,"Manual of fish eggs and larvae from Asian mangrove waters.","United Nations Educational, Scientific and Cultural Organization. Paris. 193 p.",NA,NA,NA,NA,NA
"121",4704,"Nielsen, J.G.",1986,"Bothidae.","p. 1294-1298. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the North-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 3.",NA,NA,NA,NA,NA
"122",9824,"Hensley, D.A. and K. Amaoka",2001,"Bothidae. Lefteye flounders.","p. 3799-3841. In K.E. Carpenter and V. Niem (eds.) FAO species identification guide for fishery purposes. The living marine resources of the Western Central Pacific. Vol. 6. Bony fishes part 4 (Labridae to Latimeriidae), estuarine crocodiles. FAO, Rome.",NA,NA,NA,NA,NA
"123",6390,"Kailola, P.J., M.J. Williams, P.C. Stewart, R.E. Reichelt, A. McNee and C. Grieve",1993,"Australian fisheries resources.","Bureau of Resource Sciences, Canberra, Australia. 422 p.",NA,NA,NA,NA,NA
"124",43939,"Mecklenburg, C.W., T.A. Mecklenburg and L.K. Thorsteinson",2002,"Fishes of Alaska.","American Fisheries Society, Bethesda, Maryland. xxxvii +1037 p.",NA,NA,NA,NA,NA
"125",4900,"Weber, M. and L.F. De Beaufort",1929,"The fishes of the Indo-Australian Archipelago. V. Anacanthini, Allotriognathi, Heterostomata, Berycomorphi, Percomorphi: Kuhliidae, Apogonidae, Plesiopidae, Pseudoplesiopidae, Priacanthidae, Centropomidae.","E.J. Brill Ltd., Leiden. 458 p.",NA,NA,NA,NA,NA
"126",6181,"Nakamura, I. and N.V. Parin",1993,"FAO Species Catalogue. Vol. 15. Snake mackerels and cutlassfishes of the world (families Gempylidae and Trichiuridae). An annotated and illustrated catalogue of the snake mackerels, snoeks, escolars, gemfishes, sackfishes, domine, oilfish, cutlassfishes,.","scabbardfishes, hairtails, and frostfishes known to date. FAO Fish. Synop. 125(15):136 p.",NA,NA,NA,NA,NA
"127",57759,"Hensley, D.A.",2005,"Revision of the genus <i>Asterorhombus</i> (Pleuronectiformes: Bothidae).","Copeia 2005(3):445-460.",NA,NA,NA,NA,NA
"128",34190,"Parin, N.V., O.D. Borodulina and Y.N. Scherbachev",1999,"A review of the <i>Astronesthes boulengeri</i> species group (Astronesthidae, Stomiiformes) with description of two new species.","J. Ichthyol. 39(8):557-570.",NA,NA,NA,NA,NA
"129",84461,"Bertaco, V.A., F.R. Carvalho and F.C. Jerep",2010,"<i>Astyanax goyanensis</i> (Miranda-Ribeiro, 1944), new combination and <i>Astyanax courensis</i>, new species (Ostariophysi: Characiformes): two Characidae from the upper rio Tocantins basin, Central Brazil.","Neotrop. Ichthyol. 8(2):265-275.",NA,NA,NA,NA,NA
"130",44036,"Chen, S.",2002,"Fauna Sinica, Osteichthyes. Myctophiformes, Cetomimiformes, Osteoglossiformes.","349p. Fauna Sinica series. Beijing: Science Press.",NA,NA,NA,NA,NA
"131",11897,"Kulbicki, M., J.E. Randall and J. Rivaton",1994,"Checklist of the fishes of the Chesterfield Islands (Coral Sea).","Micronesica 27(1/2):1-43.",NA,NA,NA,NA,NA
"132",57178,"Ocean Biogeographic Information System",2006,"OBIS-extracted Depth Data.","Harvested by E.Agbayani July 2006 at www.iobis.org.",NA,NA,NA,NA,NA
"133",3593,"Chao, L.N. and E. Trewavas",1990,"Sciaenidae.","p. 813-826. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"134",55223,"Florida Museum of Natural History",2005,"Biological profiles: alligator gar.","Retrieved on 26 August 2005, from www.flmnh.ufl.edu/fish/Gallery/Descript/AlligatorGar/AlligatorGar.html. Ichthyology at the Florida Museum of Natural History: Education-Biological Profiles. FLMNH, University of Florida.",NA,NA,NA,NA,NA
"135",9772,"Sasaki, K.",2001,"Sciaenidae. Croakers (drums).","p.3117-3174. In K.E. Carpenter and V.H. Niem (eds.) FAO species identification guide for fishery purposes. The living marine resources of the Western Central Pacific. Volume 5. Bony fishes part 3 (Menidae to Pomacentridae). Rome, FAO. pp. 2791-3380.",NA,NA,NA,NA,NA
"136",6885,"Hart, J.L.",1973,"Pacific fishes of Canada.","Bull. Fish. Res. Board Can. 180:740 p.",6879,27547,52559,NA,NA
"137",91120,"Greenfield, D.W.",2012,"<i>Austrobatrachus iselesele</i>, a new toadfish species from South Africa (Teleostei: Batrachoididae).","Zootaxa 3400:58-63.",NA,NA,NA,NA,NA
"138",5304,"Desoutter, M.",1990,"Soleidae.","p. 1037-1049. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"139",9340,"Collette, B.B.",1995,"Scombridae. Atunes, bacoretas, bonitos, caballas, estorninos, melva, etc.","p. 1521-1543. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",NA,NA,NA,NA,NA
"140",43507,"Worthington, E.B. and C.K. Ricardo",1936,"Scientific results of the Cambridge Expedition to the east African lakes, 1930-1. No. 15. The fish of Lake Rudolf and Lake Baringo.","J. Linn. Soc. (Zool.) 39(267):353-389.",NA,NA,NA,NA,NA
"141",3702,"Chao, L.N.",1978,"Sciaenidae.","In W. Fischer (ed.) FAO species identification sheets for fishery purposes. West Atlantic (Fishing Area 31). Volume 4. FAO, Rome.",NA,NA,NA,NA,NA
"142",2908,"Fowler, H.W.",1956,"Fishes of the Red Sea and southern Arabia. Branchiostomida to Polynemida.","The Weizmann Science Press of Israel, Jerusalem. 240 p.",NA,NA,NA,NA,NA
"143",7348,"Harmelin-Vivien, M.L. and J.-C. Qu<e9>ro",1990,"Balistidae.","p. 1055-1060. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"144",91172,"Nieto-Navarro, J.T., M. Zetina-Rej<f3>n and F. Arregu<ed>n-S<e1>nchez",2010,"Length-weight relationship of demersal fish from the eastern coast of the mouth of the gulf of California.","J. Fish. Aquat. Sci. 5(6):494-502.",NA,NA,NA,NA,NA
"145",4727,"Tortonese, E.",1986,"Balistidae.","p. 1335-1337. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the North-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. III.",NA,NA,NA,NA,NA
"146",9770,"Matsuura, K.",2001,"Balistidae. Triggerfishes.","p. 3911-3928. In K.E. Carpenter and V. Niem (eds.) FAO species identification guide for fishery purposes. The living marine resources of the Western Central Pacific. Vol. 6. Bony fishes part 4 (Labridae to Latimeriidae), estuarine crocodiles. FAO, Rome.",NA,NA,NA,NA,NA
"147",4461,"Qu<e9>ro, J.-C., T. Matsui, R.H. Rosenblatt and Y.I. Sazonov",1990,"Platytroctidae.","p. 265-274. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"148",44037,"Shcherbachev, Y.N.",1987,"Preliminary list of thalassobathyal fishes of the tropical and subtropical waters of the Indian Ocean.","J. Ichthyol. 27(2):37-46.",NA,NA,NA,NA,NA
"149",28197,"Kanayama, T.",1991,"Taxonomy and phylogeny of the family Agonidae (Pisces: Scorpaenifomes).","Mem. Fac. Fish. Hokkaido Univ. (38)1-2:1-199.",NA,NA,NA,NA,NA
"150",7251,"Robins, C.R. and G.C. Ray",1986,"A field guide to Atlantic coast fishes of North America.","Houghton Mifflin Company, Boston, U.S.A. 354 p.",NA,NA,NA,NA,NA
"151",5323,"Castle, P.H.J.",1986,"Congridae.","p. 161-165. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"152",3587,"Geistdoerfer, P.",1990,"Macrouridae.","p. 541-563. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"153",5299,"Miller, P.J.",1990,"Gobiidae.","p. 925-951. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon, SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"154",33679,"Kobylyanskiy, S.G.",1985,"Material for the revision of the genus <i>Bathylagus</i> Gunther (Bathylagidae): the group of ""light"" deepsea smelts.","J. Ichthyol. 25(2):1-17.",NA,NA,NA,NA,NA
"155",5002,"Gon, O.",1990,"Bathylagidae.","p. 107-110. In O. Gon and P.C. Heemstra (eds.) Fishes of the Southern Ocean. J.L.B. Smith Institute of Ichthyology, Grahamstown, South Africa. 462 p.",5152,NA,NA,NA,NA
"156",58017,"Fedorov, V.V.",2004,"An annotated catalog of fishlike vertebrates and fishes of the seas of Russia and adjacent countries. Part. 6. Suborder Zoarcoidei.","J. Ichthyol. 44(Suppl. 1):S73-S128.",NA,NA,NA,NA,NA
"157",33352,"Matsuura, K. and J.C. Tyler",1997,"Tetraodontiform fishes, mostly from deep waters, of New Caledonia.","p.173-208. In B. S<e9>ret (ed.) R<e9>sultats des Campagnes MUSORSTOM, vol. 17. no.9. Mem. Mus. Natl. Hist. Nat. 174.",NA,NA,NA,NA,NA
"158",45719,"Shcherbachev, Y.N. and K.D. Sulak",1988,"A new species of the genus <i>Bathypterois</i> (Fam. Chlorophthalmidae) from the eastern part of the Indian Ocean.","J. Ichthyol. 28(2):120-123.",NA,NA,NA,NA,NA
"159",5320,"Sulak, K.J.",1986,"Clorophthalmidae.","p. 261-265. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"160",4472,"Sulak, K.J.",1990,"Synodontidae.","p. 365-370. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"161",26074,"Desoutter, M. and F. Chapleau",1997,"Taxonomic status of <i>Bathysolea profundicola</i> and <i>B. polli</i> (Soleidae; Pleuronectiformes) with notes on the genus.","Ichthyol. Res. 44(4):399-412.",NA,NA,NA,NA,NA
"162",13203,"Das, M.K. and J.S. Nelson",1996,"Revision of the percophid genus <i>Bembrops</i> (Actinopterygii: Perciformes).","Bull. Mar. Sci. 59(1):9-44.",NA,NA,NA,NA,NA
"163",26165,"Weitkamp, D.E. and R.D. Sullivan",2003,"Gas bubble disease in resident fish of the lower Clark Fork River.","Trans. Am. Fish. Soc. 132(5):865-876.",9221,NA,NA,NA,NA
"164",4066,"Hulley, P.A.",1986,"Myctophidae.","p. 282-321. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"165",42565,"Hayashi, M.",2002,"Berycidae.","p. 485-486. In T. Nakabo (ed.). Fishes of Japan with pictorial keys to the species (second edition). Tokai University Press, 1749 p.",NA,NA,NA,NA,NA
"166",9833,"Paxton, J.R.",1999,"Berycidae. Alfonsinos.","p. 2218-2220. In K.E. Carpenter and V.H. Niem (eds.) FAO species identification guide for fishery purposes. The living marine resources of the WCP. Vol. 4. Bony fishes part 2 (Mugilidae to Carangidae). FAO, Rome.",NA,NA,NA,NA,NA
"167",12803,"Kottelat, M. and P.K.L. Ng",1994,"Diagnoses of five new species of fighting fishes from Banka and Borneo (Teleostei: Belontiidae).","Ichthyol. Explor. Freshwat. 5(1):65-78.",NA,NA,NA,NA,NA
"168",9311,"Gomon, M.F.",1995,"Labridae. Viejas, doncellasas, se<f1>oritas.","p. 1201-1225. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",NA,NA,NA,NA,NA
"169",4479,"Hulley, P.A.",1990,"Myctophidae.","p. 398-467. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI; Paris; and UNESCO, Paris. Vol. 1.",NA,NA,NA,NA,NA
"170",280,"Herre, A.W.C.T.",1953,"Check list of Philippine fishes.","Res. Rep. U.S. Fish Wild. Serv. (20):1-977.",244,247,NA,NA,NA
"171",5169,"Gon, O.",1990,"Stomiidae. Scaly dragonfishes.","p. 127-133. In O. Gon and P.C. Heemstra (eds.) Fishes of the Southern Ocean. J.L.B. Smith Institute of Ichthyology, Grahamstown, South Africa.",NA,NA,NA,NA,NA
"172",9281,"Hensley, D.A.",1995,"Bothidae. Lenguados.","p. 931-936. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",NA,NA,NA,NA,NA
"173",5979,"Aldebert, Y., M. Desoutter and J.-C. Qu<e9>ro",1990,"Bothidae.","p. 1027-1036. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"174",11790,"Anonymous",1994,"Philippine flatfishes in the USNM Collection, 25 May 1994.","USNM records.",NA,NA,NA,NA,NA
"175",57395,"Bauchot, M.-L.",2003,"Haemulidae.","p. 495-503 In C. L<e9>v<ea>que, D. Paugy and G.G. Teugels (eds.) Faune des poissons d'eaux douce et saum<e2>tres de l'Afrique de l'Ouest, Tome 2. Coll. Faune et Flore tropicales 40. Mus<e9>e Royal de l'Afrique Centrale, Tervuren, Belgique, Museum National d'Histoire Naturalle, Paris, France and Institut de Recherche pour le D<e9>veloppement, Paris, France. 815 p.",NA,NA,NA,NA,NA
"176",55106,"Lundberg, J.G. and A. Akama",2005,"<i>Brachyplatystoma capapretum</i>: a new species of Goliath catfish from the Amazon basin, with a reclassification of allied catfishes (Siluriformes: Pimelodidae).","Copeia 2005(3):492-516.",NA,NA,NA,NA,NA
"177",42180,"McCosker, J.E. and J.E. Randall",2001,"Revision of the snake-eel genus <i>Brachysomophis</i> (Anguilliformes: Ophichthidae), with description of two new species and comments on the species of <i>Mystriophis</i>.","Indo-Pac. Fish. (33):1-32.",NA,NA,NA,NA,NA
"178",31416,"Pavlov, Y.P.",1991,"<i>Brama australis</i> Valenciennes - a valid species of sea bream (Bramidae) from the southeastern Pacific Ocean.","J. Ichthyol. 31(5):6-9.",NA,NA,NA,NA,NA
"179",4388,"Smith, M.M.",1986,"Bramidae.","p. 633-636. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"180",8991,"Dooley, J.K.",1978,"Systematics and biology of the tilefishes (Perciformes: Branchiostegidae and Malacanthidae) with descriptions of two new species.","NOAA Tech. Rep. NMFS Circ. No. 411:1-78.",8631,NA,NA,NA,NA
"181",9607,"Dooley, J.K.",1984,"Branchiostegidae.","In W. Fischer and G. Bianchi (eds.) FAO species identification sheets for fishery purposes. Western Indian Ocean (Fishing area 51). Vol. 1, FAO, Rome.",NA,NA,NA,NA,NA
"182",3686,"Nielsen, J.G.",1990,"Ophidiidae.","p. 564-573. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.",NA,NA,NA,NA,NA
"183",34024,"Nielsen, J.G., D.M. Cohen, D.F. Markle and C.R. Robins",1999,"Ophidiiform fishes of the world (Order Ophidiiformes). An annotated and illustrated catalogue of pearlfishes, cusk-eels, brotulas and other ophidiiform fishes known to date.","FAO Fish. Synop. 125(18):178p. Rome: FAO.",NA,NA,NA,NA,NA
"184",51070,"Pietsch, T.W., H.-C. Ho and H.-M. Chen",2004,"Revision of the deep-sea anglerfish genus <i>Bufoceratias</i> Whitley (Lophiiformes: Ceratioidei: Diceratiidae), with description of a new species from the Indo-West Pacific Ocean.","Copeia 2004(1):98-107.",NA,NA,NA,NA,NA
"185",402,"Carpenter, K.E.",1988,"FAO Species Catalogue. Vol. 8. Fusilier fishes of the world. An annotated and illustrated catalogue of caesionid species known to date.","Rome: FAO. FAO Fish. Synop. 125(8):iv+75p.",1723,NA,NA,NA,NA
"186",89891,"Kells, V. and K. Carpenter",2011,"A field guide to coastal fishes from Maine to Texas.","The Johnson Hopkins University Press, Baltimore, Maryland.",NA,NA,NA,NA,NA
"187",9344,"Bianchi, G.",1995,"Sparidae. Plumas.","p. 1616-1617. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",NA,NA,NA,NA,NA
"188",11228,"Heemstra, P.C.",1995,"Additions and corrections for the 1995 impression.","p. v-xv. In M.M. Smith and P.C. Heemstra (eds.) Revised Edition of Smiths' Sea Fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"189",27478,"McCosker, J.E.",1998,"A revision of the snake-eel genus <i>Callechelys</i> (Anguilliformes: Ophichthidae) with the description of two new Indo-Pacific species and a new Callechelyin genus.","Proc. Calif. Acad. Sci. 50(7):185-215.",NA,NA,NA,NA,NA
"190",33412,"Randall, J.E.",1999,"Review of the dragonets (Pisces: Callionymidae) of the Hawaiian Islands, with descriptions of two new species.","Pac. Sci. 53(2):185-207.",NA,NA,NA,NA,NA
"191",5968,"Fricke, R.",1986,"Callionymidae.","p. 1086-1093. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the North-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 3.",NA,NA,NA,NA,NA
"192",4405,"Fricke, R.",1986,"Callionymidae.","p. 770-774. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"193",30501,"Fricke, R.",1982,"Nominal genera and species of dragonets (Teleostei: Callionymidae, Draconettidae).","Ann. Mus. Civ. Stor. Nat. Genova 84:53-92.",NA,NA,NA,NA,NA
"194",48635,"Kuiter, R.H. and T. Tonozuka",2001,"Pictorial guide to Indonesian reef fishes. Part 1. Eels- Snappers, Muraenidae - Lutjanidae.","Zoonetics, Australia. 1-302.",NA,NA,NA,NA,NA
"195",525,"Bruce, R.W. and J.E. Randall",1985,"A revision of the Indo-West Pacific parrotfish genera <i>Calotomus</i> and <i>Leptoscarus</i> (Scaridae: Sparisomatinae).","Indo-Pac. Fish. (5):32 p.",NA,NA,NA,NA,NA
"196",89467,"Randall, J.E. and A. Cea",2011,"Shore fishes of Easter Island.","University of Hawai'i Press, 164 p.",NA,NA,NA,NA,NA
"197",33390,"Fricke, R.",1999,"Fishes of the Mascarene Islands (R<e9>union, Mauritius, Rodriguez): an annotated checklist, with descriptions of new species.","Koeltz Scientific Books, Koenigstein, Theses Zoologicae, Vol. 31:759 p.",41056,NA,NA,NA,NA
"198",83660,"Randall, J.E., J.T. Williams and L.A. Rocha",2008,"The Indo-Pacific tetraodontid fish <i>Canthigaster coronata</i>, a complex of three species.","Smithiana, Publ. Aquatic Biodiv. Bull. 9:3-13.",NA,NA,NA,NA,NA
"199",8883,"Randall, J.E.",1986,"Red Sea reef fishes.","London, Immel Publishing. 192 p.",NA,NA,NA,NA,NA
"200",99978,"Bogorodsky, S.V., T.J. Alpermann, A.O. Mal and M.H. Gabr",2014,"Survey of the demersal fishes from southern Saudi Arabia, with five new records for the Red Sea.","Zootaxa 3852(4):401-437.",NA,NA,NA,NA,NA
